trial,Original_index,nb_syll/s,nb_phon/s,syll_fl/s,phon_fl/s,log_freqlex/s,mean_voisphon/s,mean_puphon/s,camemBERT/s,duration_s,suj_id,scores,vitesse,peak_env
6.0,18867.0,12.462612163509474,34.895314057826525,8.721919788023433,4.630292387213362,22.10040876658805,19.94017946161516,4.450932915539098,6.456214697966622,0.8023999999999999,suj_1,0.42857142857142855,2.5,10.250000000000002
6.0,18867.0,9.970089730807578,27.91625124626122,6.977535830418747,3.704233909770689,17.680327013270446,15.952143569292126,3.5607463324312785,5.164971758373298,1.003,suj_1,1.0,2.0,8.200000000000001
7.0,20462.0,27.190332326283993,51.3595166163142,14.885498572500005,6.921484832326285,42.8912423837129,41.001294777729825,6.905481225722919,10.539554579720523,0.331,suj_1,0.14285714285714285,5.0,25.0
7.0,20462.0,24.471299093655592,46.22356495468277,13.396948715250005,6.229336349093654,38.60211814534161,36.90116529995685,6.214933103150625,9.485599121748473,0.36777777777777776,suj_1,0.42857142857142855,4.5,22.5
7.0,20462.0,21.752265861027194,41.087613293051355,11.908398858000005,5.537187865861026,34.31299390697032,32.80103582218386,5.524384980578335,8.431643663776418,0.41375,suj_1,0.42857142857142855,4.0,20.0
7.0,20462.0,19.0332326283988,35.95166163141994,10.419849000750002,4.845039382628399,30.023869668599033,28.70090634441088,4.833836858006042,7.377688205804366,0.4728571428571429,suj_1,1.0,3.5,17.5
7.0,20462.0,16.314199395770395,30.815709969788518,8.931299143500002,4.1528908993957705,25.734745430227733,24.600776866637894,4.14328873543375,6.323732747832312,0.5516666666666666,suj_1,0.8571428571428571,3.0,15.0
7.0,20462.0,13.595166163141995,25.67975830815709,7.4427492862500015,3.4607424161631415,21.44562119185645,20.500647388864913,3.4527406128614584,5.2697772898602615,0.662,suj_1,1.0,2.5,12.5
7.0,20462.0,10.876132930513597,20.543806646525677,5.954199429000002,2.768593932930514,17.15649695348516,16.40051791109193,2.7621924902891672,4.215821831888209,0.8275,suj_1,1.0,2.0,10.0
8.0,32123.0,23.06805074971165,54.78662053056517,16.162320589677055,7.28980686980969,41.589368088309726,47.783819410117,7.826660075795022,17.742246019816907,0.3468,suj_1,0.14285714285714285,5.0,25.500000000000004
